,date,city,country,lat,lng,temp,maxtemp,humidity,cloud,wind,just_date
0,2020-01-11 15:58:26,Bubaque,GW,11.28,-15.83,26.55,26.55,53,33,1.61,2020-01-11
1,2020-01-11 15:54:07,Cape Town,ZA,-33.93,18.42,23.92,25.0,64,0,8.2,2020-01-11
2,2020-01-11 15:55:26,Ushuaia,AR,-54.8,-68.3,11.44,12.0,66,75,12.9,2020-01-11
3,2020-01-11 15:58:26,Sao Mateus,BR,-18.72,-39.86,31.32,31.32,49,29,4.49,2020-01-11
4,2020-01-11 15:58:27,Tupik,RU,54.43,119.93,-23.83,-23.83,89,97,1.74,2020-01-11
5,2020-01-11 15:58:27,Nicoya,CR,10.15,-85.45,25.67,31.0,52,0,9.3,2020-01-11
6,2020-01-11 15:58:27,Saskylakh,RU,71.92,114.08,-19.26,-19.26,96,100,4.24,2020-01-11
7,2020-01-11 15:58:27,Bredasdorp,ZA,-34.53,20.04,23.33,23.33,78,0,1.34,2020-01-11
8,2020-01-11 15:58:27,Kyabram,AU,-36.32,145.05,14.44,14.44,53,0,5.94,2020-01-11
9,2020-01-11 15:55:09,Albany,US,42.6,-73.97,13.2,15.56,67,75,6.2,2020-01-11
10,2020-01-11 15:58:27,Punta Arenas,CL,-53.15,-70.92,13.61,14.0,58,75,12.3,2020-01-11
11,2020-01-11 15:58:27,Lorengau,PG,-2.02,147.27,29.14,29.14,77,100,5.5,2020-01-11
12,2020-01-11 15:58:27,Mayor Pablo Lagerenza,PY,-19.93,-60.77,35.03,35.03,42,100,4.35,2020-01-11
13,2020-01-11 15:55:42,Port Elizabeth,ZA,-33.92,25.57,26.0,26.0,69,20,6.7,2020-01-11
14,2020-01-11 15:58:18,Hobart,AU,-42.88,147.33,12.0,13.0,50,100,5.1,2020-01-11
15,2020-01-11 15:58:27,Sai Buri,TH,6.7,101.62,25.0,25.0,88,20,2.1,2020-01-11
16,2020-01-11 15:58:27,Kodinsk,RU,58.69,99.18,-21.82,-21.82,97,7,2.42,2020-01-11
17,2020-01-11 15:58:27,Mataura,NZ,-46.19,168.86,12.78,12.78,78,53,0.45,2020-01-11
18,2020-01-11 15:58:28,Husavik,IS,66.04,-17.34,0.0,0.0,66,40,19.5,2020-01-11
19,2020-01-11 15:58:28,Yonago,JP,35.43,133.33,4.0,4.0,86,75,2.6,2020-01-11
20,2020-01-11 15:56:30,Jamestown,US,42.1,-79.24,14.03,16.0,82,90,7.2,2020-01-11
21,2020-01-11 15:58:28,Chui,UY,-33.7,-53.46,29.45,29.45,49,11,2.06,2020-01-11
22,2020-01-11 15:58:28,Saint George,US,37.1,-113.58,-3.47,-0.56,79,1,0.46,2020-01-11
23,2020-01-11 15:58:28,Bluff,NZ,-46.6,168.33,12.78,12.78,78,100,0.45,2020-01-11
24,2020-01-11 15:58:28,Nome,US,64.5,-165.41,-11.31,-11.0,61,90,13.9,2020-01-11
25,2020-01-11 15:58:28,East London,ZA,-33.02,27.91,25.0,25.0,78,0,8.7,2020-01-11
26,2020-01-11 15:58:28,Puerto Madryn,AR,-42.77,-65.04,25.38,25.38,20,0,8.56,2020-01-11
27,2020-01-11 15:54:01,Lompoc,US,34.64,-120.46,3.89,8.89,90,75,2.1,2020-01-11
28,2020-01-11 15:57:05,Cabo Rojo,PR,18.09,-67.15,28.76,30.0,61,40,12.3,2020-01-11
29,2020-01-11 15:58:29,Nanortalik,GL,60.14,-45.24,-8.63,-8.63,55,0,8.51,2020-01-11
30,2020-01-11 15:58:29,Laguna,US,38.42,-121.42,7.22,9.44,100,40,4.1,2020-01-11
31,2020-01-11 15:58:29,Tuktoyaktuk,CA,69.45,-133.04,-26.0,-26.0,75,75,5.7,2020-01-11
32,2020-01-11 15:58:29,Hambantota,LK,6.12,81.12,26.0,26.0,94,20,3.6,2020-01-11
33,2020-01-11 15:58:29,Hilo,US,19.73,-155.09,19.16,24.0,83,90,3.6,2020-01-11
34,2020-01-11 15:58:29,Zamosc,PL,50.72,23.25,4.0,4.0,100,90,4.1,2020-01-11
35,2020-01-11 15:58:29,Roald,NO,62.58,6.13,6.84,9.0,76,75,15.4,2020-01-11
36,2020-01-11 15:58:29,Tiznit,MA,29.58,-9.5,15.34,15.34,48,0,2.93,2020-01-11
37,2020-01-11 15:58:29,Atuona,PF,-9.8,-139.03,26.71,26.71,74,0,8.25,2020-01-11
38,2020-01-11 15:54:16,Kuusamo,FI,65.97,29.18,-4.0,-4.0,92,20,5.7,2020-01-11
39,2020-01-11 15:56:21,Juneau,US,58.3,-134.42,-10.99,-10.0,60,40,5.1,2020-01-11
40,2020-01-11 15:58:29,Mossamedes,AO,-15.2,12.15,26.0,26.0,65,75,5.1,2020-01-11
